description,pointnumber,datetime,valuetodate,mindate,minvalue,maxdate,maxvalue,avgvalue,choice,temp,holiday
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/1/14 0:59,8916.464844,01-Oct-14 00:57:10:483,8916.464844,01-Oct-14 00:00:06:557,9327.52832,9112.782831,KW,28,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/1/14 1:59,8661.800781,01-Oct-14 01:54:06:017,8629.791992,01-Oct-14 01:00:10:24,8948.87207,8839.884533,KW,27,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/1/14 2:59,8457.3125,01-Oct-14 02:54:04:347,8395.728516,01-Oct-14 01:57:05:337,8661.800781,8526.094262,KW,27,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/1/14 3:59,8335.536133,01-Oct-14 03:39:05:29,8243.036133,01-Oct-14 02:57:06:213,8457.3125,8333.59761,KW,27,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/1/14 4:59,8197.540039,01-Oct-14 04:45:06:467,8138.8125,01-Oct-14 03:57:04:297,8335.536133,8222.747001,KW,27,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/1/14 5:59,8617.160156,01-Oct-14 05:27:06:167,8182.408203,01-Oct-14 05:57:07:157,8617.160156,8284.816592,KW,27,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/1/14 6:59,9125.280273,01-Oct-14 06:42:04:077,8602.256836,01-Oct-14 06:57:04:837,9125.280273,8741.496419,KW,27,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/1/14 7:59,11301.38477,01-Oct-14 06:57:04:837,9125.280273,01-Oct-14 07:57:05:713,11301.38477,10449.96312,KW,28,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/1/14 8:59,12818.04883,01-Oct-14 07:57:05:713,11301.38477,01-Oct-14 08:57:10:52,12818.04883,12375.01246,KW,29,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/1/14 9:59,13363.13672,01-Oct-14 09:00:06:487,12723.41699,01-Oct-14 09:24:05:903,13505.0166,13084.58552,KW,30,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/1/14 10:59,13081.68848,01-Oct-14 10:54:11:14,13015.9209,01-Oct-14 10:03:10:477,13606.42481,13299.48145,KW,31,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/1/14 11:59,13009.57617,01-Oct-14 11:57:04:63,13009.57617,01-Oct-14 11:42:07:91,13303.85645,13190.21847,KW,31,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/1/14 12:59,13114.625,01-Oct-14 12:39:10:9,12907.87305,01-Oct-14 12:36:05:977,13275.17676,13086.27646,KW,32,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/1/14 13:59,13420.29688,01-Oct-14 13:03:11:843,13097.7207,01-Oct-14 13:33:06:173,13466.64063,13258.97028,KW,32,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/1/14 14:59,13365.72852,01-Oct-14 14:30:09:71,13222.12891,01-Oct-14 14:48:07:077,13543.27246,13394.46345,KW,32,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/1/14 15:59,13651.43262,01-Oct-14 15:54:06:163,13361.35254,01-Oct-14 15:24:07:103,13806.11231,13558.59222,KW,32,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/1/14 16:59,13428.66504,01-Oct-14 16:54:06:307,13356.06445,01-Oct-14 16:09:05:893,13698.36035,13512.732,KW,30,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/1/14 17:59,12597.93652,01-Oct-14 17:39:06:7,12582.25684,01-Oct-14 17:03:04:913,13645.39258,13154.59947,KW,30,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/1/14 18:59,11605.95215,01-Oct-14 18:54:07:2,11525.48047,01-Oct-14 18:03:05:057,12717.76074,12105.36249,KW,29,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/1/14 19:59,11275.81641,01-Oct-14 19:33:05:16,11259.55273,01-Oct-14 19:00:10:54,11716.85645,11491.11147,KW,29,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/1/14 20:59,11267.76856,01-Oct-14 20:51:08:6,11177.96094,01-Oct-14 20:21:08:14,11729.9043,11355.10147,KW,28,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/1/14 21:59,10701.27246,01-Oct-14 21:57:09:463,10701.27246,01-Oct-14 20:57:08:493,11267.76856,11038.56706,KW,29,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/1/14 22:59,10083.97656,01-Oct-14 22:57:06:097,10083.97656,01-Oct-14 22:09:09:547,10722.02441,10479.76093,KW,28,0
